country,os,count,day,month,weekday,ordinal_day
ZX,T,1,14,2,3,45
ZX,W,543,14,2,3,45
ZX,X,58681,14,2,3,45
ZX,Y,147379,14,2,3,45
XX,T,76,15,2,4,46
XX,W,380118,15,2,4,46
XX,X,1492884,15,2,4,46
XX,Y,4505221,15,2,4,46
XY,T,6,15,2,4,46
XY,W,19680,15,2,4,46
XY,X,382895,15,2,4,46
XY,Y,1134722,15,2,4,46
XZ,T,2,15,2,4,46
XZ,W,23465,15,2,4,46
XZ,X,210385,15,2,4,46
XZ,Y,849173,15,2,4,46
YX,W,12403,15,2,4,46
YX,X,80867,15,2,4,46
YX,Y,331188,15,2,4,46
YY,T,1,15,2,4,46
YY,W,11737,15,2,4,46
YY,X,541582,15,2,4,46
YY,Y,3812190,15,2,4,46
YZ,W,35,15,2,4,46
YZ,X,11931,15,2,4,46
YZ,Y,13078,15,2,4,46
ZX,T,2,15,2,4,46
ZX,W,543,15,2,4,46
ZX,X,60113,15,2,4,46
ZX,Y,147320,15,2,4,46
XX,T,91,16,2,5,47
XX,W,372251,16,2,5,47
XX,X,1430553,16,2,5,47
XX,Y,4446757,16,2,5,47
XY,T,4,16,2,5,47
XY,W,19159,16,2,5,47
XY,X,366179,16,2,5,47
XY,Y,1111755,16,2,5,47
XZ,T,3,16,2,5,47
XZ,W,22725,16,2,5,47
XZ,X,202474,16,2,5,47
XZ,Y,831865,16,2,5,47
YX,T,1,16,2,5,47
YX,W,11305,16,2,5,47
YX,X,71323,16,2,5,47
YX,Y,314991,16,2,5,47
YY,T,2,16,2,5,47
YY,W,11814,16,2,5,47
YY,X,547789,16,2,5,47
YY,Y,3862222,16,2,5,47
YZ,W,56,16,2,5,47
YZ,X,11768,16,2,5,47
YZ,Y,13521,16,2,5,47
ZX,T,2,16,2,5,47
ZX,W,527,16,2,5,47
ZX,X,58263,16,2,5,47
ZX,Y,144527,16,2,5,47
XX,T,53,17,2,6,48
XX,W,329760,17,2,6,48
XX,X,1253856,17,2,6,48
XX,Y,4132077,17,2,6,48
XY,T,6,17,2,6,48
XY,W,15164,17,2,6,48
XY,X,316062,17,2,6,48
XY,Y,1022276,17,2,6,48
XZ,T,3,17,2,6,48
XZ,W,23003,17,2,6,48
XZ,X,205256,17,2,6,48
XZ,Y,850527,17,2,6,48
YX,W,11848,17,2,6,48
YX,X,76915,17,2,6,48
YX,Y,323475,17,2,6,48
YY,T,3,17,2,6,48
YY,W,11348,17,2,6,48
YY,X,536631,17,2,6,48
YY,Y,3811487,17,2,6,48
YZ,W,69,17,2,6,48
YZ,X,11139,17,2,6,48
YZ,Y,12794,17,2,6,48
ZX,W,507,17,2,6,48
ZX,X,56530,17,2,6,48
ZX,Y,139488,17,2,6,48
XX,T,85,18,2,7,49
XX,W,307871,18,2,7,49
XX,X,1206343,18,2,7,49
XX,Y,3956600,18,2,7,49
XY,T,6,18,2,7,49
XY,W,17860,18,2,7,49
XY,X,303142,18,2,7,49
XY,Y,984800,18,2,7,49
XZ,T,2,18,2,7,49
XZ,W,21848,18,2,7,49
XZ,X,207881,18,2,7,49
XZ,Y,830787,18,2,7,49
YX,T,1,18,2,7,49
YX,W,12300,18,2,7,49
YX,X,82199,18,2,7,49
YX,Y,329651,18,2,7,49
YY,T,3,18,2,7,49
YY,W,9460,18,2,7,49
YY,X,495318,18,2,7,49
YY,Y,3453365,18,2,7,49
YZ,W,40,18,2,7,49
YZ,X,10860,18,2,7,49
YZ,Y,11693,18,2,7,49
ZX,T,2,18,2,7,49
ZX,W,487,18,2,7,49
ZX,X,54569,18,2,7,49
ZX,Y,135802,18,2,7,49
XX,T,79,19,2,1,50
XX,W,362748,19,2,1,50
XX,X,1422225,19,2,1,50
XX,Y,4392223,19,2,1,50
XY,T,9,19,2,1,50
XY,W,20422,19,2,1,50
XY,X,358104,19,2,1,50
XY,Y,1091632,19,2,1,50
XZ,T,4,19,2,1,50
XZ,W,22770,19,2,1,50
XZ,X,212171,19,2,1,50
XZ,Y,834351,19,2,1,50
YX,W,12030,19,2,1,50
YX,X,81208,19,2,1,50
YX,Y,327179,19,2,1,50
YY,W,12249,19,2,1,50
YY,X,562381,19,2,1,50
YY,Y,3963247,19,2,1,50
YZ,W,62,19,2,1,50
YZ,X,11969,19,2,1,50
YZ,Y,13169,19,2,1,50
ZX,T,1,19,2,1,50
ZX,W,542,19,2,1,50
ZX,X,58273,19,2,1,50
ZX,Y,143504,19,2,1,50
XX,T,67,20,2,2,51
XX,W,378389,20,2,2,51
XX,X,1469780,20,2,2,51
XX,Y,4465424,20,2,2,51
XY,T,8,20,2,2,51
XY,W,21115,20,2,2,51
XY,X,364376,20,2,2,51
XY,Y,1106568,20,2,2,51
XZ,T,1,20,2,2,51
XZ,W,22510,20,2,2,51
XZ,X,202704,20,2,2,51
XZ,Y,825197,20,2,2,51
YX,W,11916,20,2,2,51
YX,X,81492,20,2,2,51
YX,Y,328131,20,2,2,51
YY,T,1,20,2,2,51
YY,W,12247,20,2,2,51
YY,X,568509,20,2,2,51
YY,Y,3972708,20,2,2,51
YZ,W,45,20,2,2,51
YZ,X,12562,20,2,2,51
YZ,Y,13118,20,2,2,51
ZX,T,1,20,2,2,51
ZX,W,550,20,2,2,51
ZX,X,58412,20,2,2,51
ZX,Y,145154,20,2,2,51
XX,T,35,21,2,3,52
XX,W,383860,21,2,3,52
XX,X,1450727,21,2,3,52
XX,Y,4481828,21,2,3,52
XY,T,6,21,2,3,52
XY,W,20493,21,2,3,52
XY,X,372262,21,2,3,52
XY,Y,1124347,21,2,3,52
XZ,T,1,21,2,3,52
XZ,W,22428,21,2,3,52
XZ,X,200224,21,2,3,52
XZ,Y,826364,21,2,3,52
YX,W,12415,21,2,3,52
YX,X,81777,21,2,3,52
YX,Y,333319,21,2,3,52
YY,T,2,21,2,3,52
YY,W,12066,21,2,3,52
YY,X,561448,21,2,3,52
YY,Y,3950792,21,2,3,52
YZ,W,35,21,2,3,52
YZ,X,11892,21,2,3,52
YZ,Y,13016,21,2,3,52
ZX,T,2,21,2,3,52
ZX,W,524,21,2,3,52
ZX,X,58375,21,2,3,52
ZX,Y,146047,21,2,3,52
XX,T,64,22,2,4,53
XX,W,390410,22,2,4,53
XX,X,1469109,22,2,4,53
XX,Y,4576858,22,2,4,53
XY,T,10,22,2,4,53
XY,W,21700,22,2,4,53
XY,X,387302,22,2,4,53
XY,Y,1147915,22,2,4,53
XZ,T,7,22,2,4,53
XZ,W,23596,22,2,4,53
XZ,X,217708,22,2,4,53
XZ,Y,870366,22,2,4,53
YX,W,12598,22,2,4,53
YX,X,81155,22,2,4,53
YX,Y,343329,22,2,4,53
YY,T,3,22,2,4,53
YY,W,12561,22,2,4,53
YY,X,577200,22,2,4,53
YY,Y,4154062,22,2,4,53
YZ,W,41,22,2,4,53
YZ,X,11766,22,2,4,53
YZ,Y,12979,22,2,4,53
ZX,W,552,22,2,4,53
ZX,X,60103,22,2,4,53
ZX,Y,150406,22,2,4,53
XX,T,66,23,2,5,54
XX,W,352810,23,2,5,54
XX,X,1312688,23,2,5,54
XX,Y,4302618,23,2,5,54
XY,T,1,23,2,5,54
XY,W,21273,23,2,5,54
XY,X,372191,23,2,5,54
XY,Y,1133091,23,2,5,54
XZ,T,4,23,2,5,54
XZ,W,22432,23,2,5,54
XZ,X,196686,23,2,5,54
XZ,Y,847629,23,2,5,54
YX,W,11564,23,2,5,54
YX,X,71387,23,2,5,54
YX,Y,324816,23,2,5,54
YY,T,1,23,2,5,54
YY,W,11857,23,2,5,54
YY,X,542781,23,2,5,54
YY,Y,3921551,23,2,5,54
YZ,W,65,23,2,5,54
YZ,X,11937,23,2,5,54
YZ,Y,12971,23,2,5,54
ZX,T,1,23,2,5,54
ZX,W,528,23,2,5,54
ZX,X,56768,23,2,5,54
ZX,Y,143117,23,2,5,54
XX,T,56,24,2,6,55
XX,W,324235,24,2,6,55
XX,X,1223006,24,2,6,55
XX,Y,4061286,24,2,6,55
XY,T,9,24,2,6,55
XY,W,18973,24,2,6,55
XY,X,325745,24,2,6,55
XY,Y,1041795,24,2,6,55
XZ,T,1,24,2,6,55
XZ,W,22734,24,2,6,55
XZ,X,193887,24,2,6,55
XZ,Y,863474,24,2,6,55
YX,W,12038,24,2,6,55
YX,X,75837,24,2,6,55
YX,Y,328966,24,2,6,55
YY,T,3,24,2,6,55
YY,W,11166,24,2,6,55
YY,X,526451,24,2,6,55
YY,Y,3859202,24,2,6,55
YZ,W,31,24,2,6,55
YZ,X,10995,24,2,6,55
YZ,Y,12143,24,2,6,55
ZX,W,506,24,2,6,55
ZX,X,56474,24,2,6,55
ZX,Y,141393,24,2,6,55
XX,T,46,25,2,7,56
XX,W,310331,25,2,7,56
XX,X,1205145,25,2,7,56
XX,Y,3969472,25,2,7,56
XY,T,7,25,2,7,56
XY,W,18124,25,2,7,56
XY,X,315245,25,2,7,56
XY,Y,1013213,25,2,7,56
XZ,T,2,25,2,7,56
XZ,W,21338,25,2,7,56
XZ,X,197470,25,2,7,56
XZ,Y,835298,25,2,7,56
YX,W,12433,25,2,7,56
YX,X,82807,25,2,7,56
YX,Y,336468,25,2,7,56
YY,T,1,25,2,7,56
YY,W,9684,25,2,7,56
YY,X,486719,25,2,7,56
YY,Y,3543388,25,2,7,56
YZ,W,43,25,2,7,56
YZ,X,10978,25,2,7,56
YZ,Y,11157,25,2,7,56
ZX,T,1,25,2,7,56
ZX,W,477,25,2,7,56
ZX,X,54946,25,2,7,56
ZX,Y,136882,25,2,7,56
XX,T,56,26,2,1,57
XX,W,373130,26,2,1,57
XX,X,1459928,26,2,1,57
XX,Y,4468185,26,2,1,57
XY,T,6,26,2,1,57
XY,W,17493,26,2,1,57
XY,X,362294,26,2,1,57
XY,Y,1115270,26,2,1,57
XZ,W,22397,26,2,1,57
XZ,X,200804,26,2,1,57
XZ,Y,838041,26,2,1,57
YX,W,12393,26,2,1,57
YX,X,81047,26,2,1,57
YX,Y,334665,26,2,1,57
YY,T,4,26,2,1,57
YY,W,11887,26,2,1,57
YY,X,537678,26,2,1,57
YY,Y,3939704,26,2,1,57
YZ,W,51,26,2,1,57
YZ,X,11728,26,2,1,57
YZ,Y,12497,26,2,1,57
ZX,W,529,26,2,1,57
ZX,X,59127,26,2,1,57
ZX,Y,145938,26,2,1,57
XX,T,58,27,2,2,58
XX,W,384333,27,2,2,58
XX,X,1467259,27,2,2,58
XX,Y,4502639,27,2,2,58
XY,T,7,27,2,2,58
XY,W,21537,27,2,2,58
XY,X,369774,27,2,2,58
XY,Y,1136090,27,2,2,58
XZ,T,2,27,2,2,58
XZ,W,22204,27,2,2,58
XZ,X,194469,27,2,2,58
XZ,Y,833488,27,2,2,58
YX,W,12232,27,2,2,58
YX,X,81120,27,2,2,58
YX,Y,328858,27,2,2,58
YY,T,1,27,2,2,58
YY,W,11921,27,2,2,58
YY,X,540727,27,2,2,58
YY,Y,3912638,27,2,2,58
YZ,W,58,27,2,2,58
YZ,X,11855,27,2,2,58
YZ,Y,12619,27,2,2,58
ZX,T,1,27,2,2,58
ZX,W,552,27,2,2,58
ZX,X,59776,27,2,2,58
ZX,Y,147536,27,2,2,58
XX,T,85,28,2,3,59
XX,W,384273,28,2,3,59
XX,X,1516617,28,2,3,59
XX,Y,4530643,28,2,3,59
XY,T,4,28,2,3,59
XY,W,21395,28,2,3,59
XY,X,369067,28,2,3,59
XY,Y,1132013,28,2,3,59
XZ,T,2,28,2,3,59
XZ,W,22069,28,2,3,59
XZ,X,194614,28,2,3,59
XZ,Y,827003,28,2,3,59
YX,W,11966,28,2,3,59
YX,X,80010,28,2,3,59
YX,Y,327199,28,2,3,59
YY,T,3,28,2,3,59
YY,W,11771,28,2,3,59
YY,X,534316,28,2,3,59
YY,Y,3860225,28,2,3,59
YZ,W,48,28,2,3,59
YZ,X,11502,28,2,3,59
YZ,Y,12632,28,2,3,59
ZX,W,554,28,2,3,59
ZX,X,59656,28,2,3,59
ZX,Y,147506,28,2,3,59
XX,T,140,29,2,4,60
XX,W,393417,29,2,4,60
XX,X,1555544,29,2,4,60
XX,Y,4616435,29,2,4,60
XY,T,15,29,2,4,60
XY,W,21953,29,2,4,60
XY,X,384861,29,2,4,60
XY,Y,1162121,29,2,4,60
XZ,T,3,29,2,4,60
XZ,W,22963,29,2,4,60
XZ,X,213652,29,2,4,60
XZ,Y,872548,29,2,4,60
YX,W,12393,29,2,4,60
YX,X,80509,29,2,4,60
YX,Y,341039,29,2,4,60
YY,T,6,29,2,4,60
YY,W,12100,29,2,4,60
YY,X,549102,29,2,4,60
YY,Y,4049240,29,2,4,60
YZ,W,40,29,2,4,60
YZ,X,11722,29,2,4,60
YZ,Y,12373,29,2,4,60
ZX,T,1,29,2,4,60
ZX,W,541,29,2,4,60
ZX,X,61591,29,2,4,60
ZX,Y,151257,29,2,4,60
XX,T,73,1,3,5,61
XX,W,377867,1,3,5,61
XX,X,1439769,1,3,5,61
XX,Y,4521845,1,3,5,61
XY,T,7,1,3,5,61
XY,W,21280,1,3,5,61
XY,X,363657,1,3,5,61
XY,Y,1132145,1,3,5,61
XZ,T,2,1,3,5,61
XZ,W,22344,1,3,5,61
XZ,X,200386,1,3,5,61
XZ,Y,854896,1,3,5,61
YX,T,1,1,3,5,61
YX,W,11278,1,3,5,61
YX,X,70694,1,3,5,61
YX,Y,320080,1,3,5,61
YY,T,4,1,3,5,61
YY,W,11201,1,3,5,61
YY,X,526346,1,3,5,61
YY,Y,3842961,1,3,5,61
YZ,W,41,1,3,5,61
YZ,X,11382,1,3,5,61
YZ,Y,12229,1,3,5,61
ZX,T,1,1,3,5,61
ZX,W,524,1,3,5,61
ZX,X,59418,1,3,5,61
ZX,Y,148644,1,3,5,61
XX,T,58,2,3,6,62
XX,W,342514,2,3,6,62
XX,X,1261812,2,3,6,62
XX,Y,4214986,2,3,6,62
XY,T,8,2,3,6,62
XY,W,19137,2,3,6,62
XY,X,321602,2,3,6,62
XY,Y,1050301,2,3,6,62
XZ,T,1,2,3,6,62
XZ,W,22534,2,3,6,62
XZ,X,205767,2,3,6,62
XZ,Y,870475,2,3,6,62
YX,W,11706,2,3,6,62
YX,X,76097,2,3,6,62
YX,Y,326840,2,3,6,62
YY,T,6,2,3,6,62
YY,W,10662,2,3,6,62
YY,X,514428,2,3,6,62
YY,Y,3792162,2,3,6,62
YZ,W,47,2,3,6,62
YZ,X,10894,2,3,6,62
YZ,Y,11751,2,3,6,62
ZX,T,1,2,3,6,62
ZX,W,561,2,3,6,62
ZX,X,58913,2,3,6,62
ZX,Y,148018,2,3,6,62
XX,T,52,3,3,7,63
XX,W,322681,3,3,7,63
XX,X,1228832,3,3,7,63
XX,Y,4061422,3,3,7,63
XY,T,10,3,3,7,63
XY,W,18138,3,3,7,63
XY,X,309569,3,3,7,63
XY,Y,1008819,3,3,7,63
XZ,T,1,3,3,7,63
XZ,W,21354,3,3,7,63
XZ,X,206330,3,3,7,63
XZ,Y,846780,3,3,7,63
